id;item_group_id;title;description;link;image_link;price;availability;condition;google_product_category;product_type;additional_image_link;sale_price;brand;gender;age_group;size;size_type;shipping;custom_label_0;adwords_redirect
;;Air Jordan 1 High OG Denim;;https://costyled.me/products/air-jordan-1-high-og-denim;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-high-og-denim-785783.jpg?v=1680136274;1760.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low USC;"<p><strong><a href=""https://costyled.me/collections/nike"">Nike</a> </strong>continues to play with its classics, introducing the <strong><a href=""https://costyled.me/collections/nike-dunk-low"">Dunk Low</a> USC</strong>, also known as <strong>Gym Red</strong>.</p>
<p>This iteration echoes the OG pack of the <strong><a href=""https://costyled.me/collections/nike-dunk"">Dunk</a> ""Be True To Your School""</strong>, showcasing the <strong>colors of St. John's University</strong>, with a <strong>white base</strong> and <strong>red overlays</strong>, shades also mixed on the soles. It sets itself apart with <strong>yellow branding</strong> on the tongue and heel. </p>
<p>In the same vein, also check out the <a href=""https://costyled.me/products/dunk-low-midas-gold""><strong>Dunk Low Midas Gold</strong></a>!</p>
<p><strong>Practical advice</strong>: This model fits true to size, we recommend selecting your usual size.</p>
<p><strong>Release date:</strong> 08/08/2022</p>
<p><strong>Colorway: </strong>White/Gym Red-Midas Gold</p>";https://costyled.me/products/dunk-low-usc;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-usc-571849.jpg?v=1680137434;1520.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;40 EU - 7 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low UCLA;;https://costyled.me/products/dunk-low-ucla;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-ucla-966142.jpg?v=1680137429;1400.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;38.5 EU - 6 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 V2 Core Black Red;"<p><strong>Kanye West's</strong> label has revived a classic with the <strong><a href=""https://costyled.me/collections/yeezy-350"">Yeezy Boost 350</a> V2 Core Black Red</strong>.</p>
<p>Originally released in 2016 and restocked for <strong><a href=""https://costyled.me/collections/yeezy"">Yeezy</a> Day 2022</strong>, this silhouette is characterized by its <strong>predominantly black</strong> colorway, featuring the iconic <strong>ridged Boost midsole</strong> and <strong>Primeknit upper</strong>. A <strong>red central stripe</strong>, adorned with the <strong>SPLY-350</strong> detail, adds a striking touch to the design.</p>
<p>For more iconic classics, check out the <a href=""https://costyled.me/products/yeezy-boost-350-turtledove""><strong>Yeezy Boost 350 Turtledove</strong></a> as well!</p>
<p><strong>Practical advice</strong>: This model runs small; we recommend choosing a size that is 1/2 larger than your regular size.</p>
<p><strong>Release date:</strong> 23/11/2016</p>
<p><strong>Colorway:</strong> Core Black/Red/Core Black</p>";https://costyled.me/products/yeezy-boost-350-v2-core-black-red;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-v2-core-black-red-649326.jpg?v=1680137970;1900.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Low OG UNC (2022);;https://costyled.me/products/air-jordan-1-low-og-unc-2022;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-low-og-unc-2022-412829.jpg?v=1680136384;1460.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Low Vintage Grey;"Step into the world of timeless style and unrivaled comfort with the exclusive Air Jordan 1 Low Vintage Grey limited edition sneaker. This highly sought-after release boasts a unique combination of premium materials, classic design, and meticulous craftsmanship that true sneaker enthusiasts will appreciate.

The Vintage Grey colorway features a rich, neutral palette that complements any outfit, while the luxurious suede and leather upper exudes sophistication and durability. The iconic Air Jordan Wings logo, elegantly embossed on the heel, serves as a subtle nod to the sneaker's legendary heritage.";https://costyled.me/products/air-jordan-1-low-vintage-grey;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-low-vintage-grey-129635.jpg?v=1680136603;1900.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Safari;;https://costyled.me/products/dunk-low-safari;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-safari-511153.jpg?v=1680137415;1200.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;38.5 EU - 6 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Alternate Bred Toe;"<p><strong><a href=""https://costyled.me/collections/air-jordan"">Jordan</a> </strong>continues to play with its classics, as showcased by the <strong><a href=""https://costyled.me/collections/jordan"">Air Jordan 1 Mid Alternate Bred Toe</a></strong>.</p>
<p>The <a href=""https://costyled.me/collections/air-jordan""><strong>Air Jordan 1</strong></a> here mixes the <strong>Chicago Bulls color palette</strong> with a classic leather structure. It features a <strong>white base</strong> highlighted with black panels on the forefoot and red on the rear as well as the <strong>toebox</strong>. An <strong>immaculate midsole</strong> completes the design.</p>
<p>In the same vein, also check out the <span class=""title""><a href=""https://costyled.me/products/air-jordan-1-mid-reverse-bred""><strong>Air Jordan 1 Mid Reverse Bred</strong></a>!</span></p>
<p><strong>Practical advice</strong>: This model runs true to size, and we recommend choosing your regular size. </p>
<p><strong>Release date: </strong>07/17/2022</p>
<p><strong>Colorway: </strong>White/Red/Black</p>";https://costyled.me/products/air-jordan-1-mid-alternate-bred-toe;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-alternate-bred-toe-294956.jpg?v=1680136610;1520.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Light Madder Root;<p>The Air Jordan 1 Mid Light Madder Root is a lightweight shoe designed for superior performance. It features a wide midsole for stability and Nike's Air cushioning for responsive comfort. The leather and suede construction offer durability and an upscale look. Perfect for the courts or streets.</p>;https://costyled.me/products/air-jordan-1-mid-light-madder-root;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-light-madder-root-844521.jpg?v=1680136653;1520.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Yeezy Foam RNNR Onyx;"<p><meta charset=""utf-8""><span data-mce-fragment=""1""></span><meta charset=""utf-8""><strong data-mce-fragment=""1"">Fit advice</strong><span data-mce-fragment=""1""> : This model runs small, we recommend taking a size and a half above your usual size.</span></p>
<p>Ye's label and <a href=""https://costyled.me/collections/adidas""><strong>adidas</strong></a> have concocted a <strong><a href=""https://costyled.me/collections/yeezy"">Yeezy</a> Foam RNNR Onyx</strong> that arrives just in time for summer.</p>
<p>The <a href=""https://costyled.me/collections/yeezy-foam-rnnr""><strong>Yeezy Foam RNNR</strong></a> is presented here in its usual <strong>single-piece EVA</strong> construction, and its unique design characterized by <strong>oval cutouts</strong>. The <strong>Onyx</strong> stands out with a <strong>monochrome anthracite colorway</strong> that is particularly versatile.</p>
<p>In the same vein, discover the <a href=""https://costyled.me/products/yeezy-foam-rnnr-mineral-blue?variant=40223501910169""><strong>Yeezy Foam RNNR Mineral Blue</strong></a>!</p>
<p><strong>Release date: </strong>08/06/2022</p>
<p><strong>Colorway: </strong>Onyx/Onyx-Onyx</p>";https://costyled.me/products/yeezy-foam-rnnr-onyx;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-foam-rnnr-onyx-362292.webp?v=1680137855;1330.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;37 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;SB Dunk Low Green Apple;"<p><strong><a href=""https://costyled.me/collections/nike"">Nike's</a></strong> skateboarding division has prepared a fruit-themed collection, including the <strong>SB <a href=""https://costyled.me/collections/nike-dunk-low"">Dunk Low</a> Green Apple</strong>.</p>
<p>This <strong><a href=""https://costyled.me/collections/nike-dunk"">Dunk</a></strong> features the <strong>colors of an apple</strong>, with the fruit's symbol found inside the tongue. The silhouette showcases an off-white <strong>grained leather</strong> base, highlighted by a dark green central swoosh and <strong>apple green suede overlays</strong> that match the outsole, which is paired with a white midsole.</p>
<p>Also, check out the <a href=""https://costyled.me/products/sb-dunk-low-cherry""><strong>SB Dunk Low Cherry</strong></a>!</p>
<p><strong>Size advice:</strong> This model runs true to size, we recommend choosing your usual size.</p>
<p><strong>Release date:</strong> 2023-06-01</p>
<p><strong>Colorway:</strong> White/Green Apple</p>";https://costyled.me/products/sb-dunk-low-green-apple;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/sb-dunk-low-green-apple-265502.jpg?v=1680137552;2240.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 4 Retro Midnight Navy;;https://costyled.me/products/air-jordan-4-retro-midnight-navy;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-4-retro-midnight-navy-154352.webp?v=1680136930;1430.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid SE Light Mulberry;<p>The Air Jordan 1 Mid SE Light Mulberry is a stylish and comfortable addition to your wardrobe. Featuring a leather upper with synthetic overlays for added durability, this sneaker offers a mid-cut collar for extra ankle support and a cushioned midsole for enhanced comfort. The sleek design is completed with a rubber outsole for improved traction.</p>;https://costyled.me/products/air-jordan-1-mid-se-light-mulberry;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-se-light-mulberry-414877.jpg?v=1680136708;1320.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Elephant Print;<p>The Air Jordan 1 Mid Elephant Print is the perfect shoe for a stand-out look. It comes with an eye-catching elephant print pattern that is sure to get attention. Constructed with top-of-the-line materials, this shoe is lightweight and durable. Elevate your style with the Air Jordan 1 Mid Elephant Print.</p>;https://costyled.me/products/air-jordan-1-mid-elephant-print;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-elephant-print-149411.jpg?v=1680136641;1010.00;in stock;new;;;;;;;;40 EU - 7 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Bred Text;<p>The Air Jordan 1 Mid Bred Text is a classic silhouette crafted with premium material and detailed stitching. Its lightweight construction allows for superior breathability, its rubber outsole provides superior grip and durability, and its padded collar delivers comfortable support. Enjoy a classic look with modern technology.</p>;https://costyled.me/products/air-jordan-1-mid-bred-text;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-bred-text-103232.jpg?v=1680136613;730.00;in stock;new;;;;;;;;3.5Y US;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 Turtledove;<p>Introducing the Yeezy Boost 350 Turtledove- the iconic sneaker from Adidas + Kanye West. Featuring an ultra-comfortable Boost midsole and lightweight Primeknit upper for maximum cushioning. These shoes provide a breathable and supportive fit, perfect for any active lifestyle.</p>;https://costyled.me/products/yeezy-boost-350-turtledove;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-turtledove-406669.jpg?v=1680138170;4750.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Blue Mint;"<p>undefined</p>
<p>The Air Jordan 1 Mid Blue Mint is a stylish and comfortable sneaker designed for everyday wear. The upper is crafted from premium leather for a soft and supportive feel, while the foam midsole provides cushioning and energy return for a lightweight and responsive ride. The iconic Nike Jumpman logo is stamped on the tongue and heel, making this shoe perfect for a fashionable and sporty look.</p>";https://costyled.me/products/air-jordan-1-mid-blue-mint;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-blue-mint-233881.jpg?v=1682073511;2040.00;in stock;new;;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Rose Whisper;"The silhouette designed in 1985 by designer Peter Moore resurfaces in a <strong>stunning ""Rose Whisper"" colorway</strong> that you need to check out immediately!
<p> <br></p>
<p>Freshly arrived at Costyled, the Dunk Low ""Rose Whisper"" is part of the popular two-tone variations of the iconic low-top sneaker.</p>
<p>Released in an exclusively feminine version, the pair showcases a simple yet effective leather configuration, featuring a <strong>white base coupled with peach-pink overlays</strong>.</p>
<p>Launched with great fanfare in April 2022, the Nike Dunk Low ""Rose Whisper"" is available at Costyled in a selection of women's sizes.</p>
<p><strong>Practical advice</strong> : This model fits true to size, we recommend you take your usual size.</p>
<p><strong>Release date : </strong>March 2023</p>";https://costyled.me/products/dunk-low-rose-whisper;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-rose-whisper-317453.jpg?v=1680137684;1400.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Brown Basalt;;https://costyled.me/products/air-jordan-1-mid-brown-basalt;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-brown-basalt-848846.jpg?v=1680136606;0.00;in stock;new;;;;;;;;Default Title;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Drip;<p>The Air Jordan 1 Mid Drip offers Jordan enthusiasts an iconic silhouette with superior cushioning and traction. Crafted with a premium leather upper and midsole cushioning, these shoes provide exceptional comfort at an affordable price. The rubber outsole offers reliable grip, making these a great choice for any athlete.</p>;https://costyled.me/products/air-jordan-1-mid-drip;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-drip-136334.jpg?v=1680136634;1120.00;in stock;new;;;;;;;;3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Crater Grey University Blue;<p>Experience ultimate comfort with the Air Jordan 1 Mid Crater Grey University Blue, featuring a newly designed rubber outsole for excellent grip and cushioning. The mid-cut design provides extra ankle support and stability. Look great and stay comfortable with these iconic shoes.</p>;https://costyled.me/products/air-jordan-1-mid-crater-grey-university-blue;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-crater-grey-university-blue-629291.jpg?v=1680136625;1290.00;in stock;new;;;;;;;;40 EU - 7 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Foam RNNR Mist;;https://costyled.me/products/yeezy-foam-rnnr-mist;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-foam-rnnr-mist-696650.jpg?v=1680137852;2580.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;37 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Next Nature White Gym Red;<p>Introducing the Dunk Low Next Nature White Gym Red. This classic low-top sneaker features a low-cut silhouette, a leather and synthetic upper, and a white and red colorway for a timeless and iconic look. The lightweight yet durable construction provides support, comfort, and ventilation all day.</p>;https://costyled.me/products/dunk-low-next-nature-white-gym-red;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-next-nature-white-gym-red-494559.jpg?v=1680137584;1480.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Next Nature White Mint;"<p><a href=""https://costyled.me/collections/nike""><strong>Nike</strong></a> prepares for the arrival of spring with the gentle <strong><a href=""https://costyled.me/collections/nike-dunk-low"">Dunk Low</a> Next Nature White Mint</strong>.</p>
<p>This low-top features a <strong>recycled materials</strong> construction, and a <strong>clean aesthetic</strong> with subtle details. Its white base is accentuated by <strong>pastel mint green overlays</strong> with a <strong>cracked finish</strong>. The two shades are also combined on the branding and soles, perfecting the two-tone look.</p>
<p>Discover the <a href=""https://costyled.me/products/dunk-low-next-nature-sail""><strong>Dunk Low Next Nature Sail</strong></a> as well!</p>
<p><strong>Practical advice</strong>: This model fits true to size, we recommend selecting your usual size.</p>
<p><strong>Release date:</strong> 2022</p>
<p><strong>Colorway:</strong> White/Mint</p>";https://costyled.me/products/dunk-low-next-nature-white-mint;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-next-nature-white-mint-743004.webp?v=1680137583;950.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Two Tone Grey;;https://costyled.me/products/dunk-low-two-tone-grey;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-two-tone-grey-682409.jpg?v=1680137430;1040.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Yeezy Slide Onyx;"<p><meta charset=""utf-8""><strong>Practical advice:</strong> This model runs small, we recommend taking 1 size larger than your usual size.<br></p>
<p><br>The adidas and Ye's collaborative line-up completes its winter line-up with the <strong><a href=""https://costyled.me/collections/yeezy-slide"">Yeezy Slide</a> Onyx</strong>.<br></p>
<p>The iconic <meta charset=""utf-8""><strong data-mce-fragment=""1""><a href=""https://costyled.me/collections/yeezy"" data-mce-fragment=""1"" data-mce-href=""https://costyled.me/collections/yeezy"">Yeezy</a><span data-mce-fragment=""1""> </span></strong><span data-mce-fragment=""1"">slip-on is back in its classic <strong>molded EVA construction</strong>, this time in a matte <strong>onyx</strong> blue-black finish. Adidas branding on the insoles and a molded outsole round out the design.</span></p>
<p>Check out the <a href=""https://costyled.me/products/yeezy-slide-soot""><strong>Yeezy Slide Soot</strong></a> as well!</p>
<p><strong>Date de sortie :<span> </span></strong>07/03/2022</p>
<p><strong>Coloris : </strong>Onyx/Onyx-Onyx</p>";https://costyled.me/products/yeezy-slide-onyx;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-slide-onyx-436618.jpg?v=1680137871;1000.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;37 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 OG Heritage;;https://costyled.me/products/air-jordan-1-og-heritage;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-og-heritage-593137.webp?v=1680136778;1430.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Retro High OG Yellow Toe;;https://costyled.me/products/air-jordan-1-retro-high-og-yellow-toe;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-retro-high-og-yellow-toe-997164.webp?v=1680136817;1460.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Retro High OG Starfish;;https://costyled.me/products/air-jordan-1-retro-high-og-starfish;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-retro-high-og-starfish-528334.webp?v=1680136807;1510.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 V2 Bone;"<p><strong>Adidas</strong> and <strong>Kanye West</strong> present a sleek edition with the <strong><a href=""https://costyled.me/collections/yeezy-350"">Yeezy Boost 350</a> V2 Bone</strong>.</p>
<p>This <strong><a href=""https://costyled.me/collections/yeezy"">Yeezy</a> 350</strong> showcases a classic construction, featuring a <strong>Primeknit upper</strong> and a <strong>semi-translucent BOOST midsole</strong>, all in a minimalist aesthetic characterized by <strong>shades of white</strong>. A clean version that should delight the purists!</p>
<p>For a similar style, check out the <a href=""https://costyled.me/collections/yeezy-350/products/yeezy-boost-350-v2-cream-white""><strong>Yeezy Boost 350 V2 Cream White</strong></a>!</p>
<p><strong>Practical advice:</strong> This model fits true to size; we recommend selecting your usual size.</p>
<p><strong>Release date:</strong> Spring 2022</p>
<p><strong>Colorway:</strong> Bone/Bone-Bone</p>";https://costyled.me/products/yeezy-boost-350-v2-bone;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-v2-bone-285322.webp?v=1680137793;1900.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Diamond Shorts;<p>These Air Jordan 1 Mid Diamond Shorts are made with premium materials and feature a unique diamond jacquard pattern. The shorts offer superior comfort and mobility, perfect for any active lifestyle. They also come with a high-waisted design to keep you looking stylish and feeling confident.</p>;https://costyled.me/products/air-jordan-1-mid-diamond-shorts;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-diamond-shorts-769802.jpg?v=1680136622;1510.00;in stock;new;;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Coconut Milk Particle Grey;<p>Stay a step ahead of the competition with the Air Jordan 1 Mid Coconut Milk Particle Grey. Comfortable and stylish, these shoes feature an Air unit for cushioning and a rubber outsole for traction. With premium leather details and a sleek silhouette, these shoes make a statement.</p>;https://costyled.me/products/air-jordan-1-mid-coconut-milk-particle-grey;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-coconut-milk-particle-grey-492077.jpg?v=1680136628;920.00;in stock;new;;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Nike Dunk Low Dark Marina Blue;;https://costyled.me/products/nike-dunk-low-dark-marina-blue;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/nike-dunk-low-dark-marina-blue-679618.jpg?v=1680137478;1520.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;38.5 EU - 6 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 V2 Beluga Reflective;"<p>Introducing a dynamic new iteration: the Yeezy Boost 350 V2 Beluga Reflective.</p>
<p>This captivating sneaker combines the iconic silhouette of the Yeezy Boost 350 V2 with an innovative twist. The Beluga Reflective features a striking blend of gray and orange hues, creating a bold yet stylish statement. A standout feature of this model is the reflective detailing woven throughout the Primeknit upper, offering enhanced visibility and an eye-catching aesthetic.</p>
Practical advice : This model normally sizes, we recommend taking your regular size.
Release date :";https://costyled.me/products/yeezy-boost-350-v2-beluga-reflective;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-v2-beluga-reflective-959190.jpg?v=1680138254;2000.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Yeezy Slide Ochre;"<p data-mce-fragment=""1"">The Yeezy Slide Ochre is the perfect combination of style and comfort. Crafted with a lightweight EVA foam, the slip-on sandal is built with superior cushioning and durability. The durable rubber outsole provides traction and durability on a variety of surfaces, making it an ideal choice for everyday wear.</p>
Advice: This model is small sized, We recommend you to buy half a size bigger than your usual size Release date:";https://costyled.me/products/yeezy-slide-ochre;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-slide-ochre-707851.jpg?v=1680137870;950.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;37 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 High OG Atmosphere (Bubble Gum);;https://costyled.me/products/air-jordan-1-high-og-atmosphere-bubble-gum;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-high-og-atmosphere-bubble-gum-414391.jpg?v=1680136271;1740.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 High OG Patent Bred;;https://costyled.me/products/air-jordan-1-high-og-patent-bred;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-high-og-patent-bred-793998.jpg?v=1680136277;1790.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Earthy Brown;<p>This Air Jordan 1 Mid in Earthy Brown is a classic sneaker from Jordan Brand. It features an upper crafted from premium leather and synthetic materials for a comfortable and stylish fit. The textile lining and foam midsole add cushioning for a lightweight experience. With its timeless silhouette, it's a perfect choice for everyday wear.</p>;https://costyled.me/products/air-jordan-1-mid-earthy-brown;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-earthy-brown-557255.jpg?v=1680136646;1340.00;in stock;new;;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Coconut Milk;<p>The Air Jordan 1 Mid Coconut Milk is the perfect combination of comfort and style. Featuring comfortable cushioning and durable leather uppers, it offers superior support and control on and off the court. With a unique design and signature detailing, this shoe is the perfect addition to your sporty wardrobe.</p>;https://costyled.me/products/air-jordan-1-mid-coconut-milk;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-coconut-milk-190566.jpg?v=1680136425;1120.00;in stock;new;;;;;;;;4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Coral Chalk Pink;<p>The Air Jordan 1 Mid Coral Chalk Pink is a stylish mid-cut sneaker with a crisp and clean design. Featuring a combination of leather, synthetic, and mesh materials, the upper provides a durable, breathable, and lightweight fit. The iconic Air units in the midsole provide balance and cushioning, making this shoe perfect for comfortable everyday wear.</p>;https://costyled.me/products/air-jordan-1-mid-coral-chalk-pink;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-coral-chalk-pink-220063.jpg?v=1680136617;1120.00;in stock;new;;;;;;;;3.5Y US;regular;US:CA:Ground:0 USD;;
;;Dunk Low NBA 75th Anniversary Chicago Bulls;"<p><a href=""https://costyled.me/collections/nike""><strong>Nike</strong></a> celebrates the NBA's 75th anniversary with a footwear collection, which includes the <strong>Nike Dunk Low NBA 75th Anniversary Chicago Bulls</strong>.</p>
<p>This <a href=""https://costyled.me/collections/nike-dunk""><strong>Dunk</strong></a> showcases the <strong>Chicago</strong> theme through its leather upper, featuring an off-white base with red overlays on the forefoot and black at the rear. An immaculate midsole combined with a red outsole completes the design, accompanied by an <strong>NBA</strong> tag on the tongue and a diamond-patterned deubré.</p>
<p>Note that this version will be accompanied by a <a href=""https://costyled.me/collections/products/dunk-low-nba-75th-anniversary-black-silver""><strong>Nike Dunk Low NBA Black Silver</strong></a>.</p>
<p><strong>Size advice:</strong> This model runs true to size, we recommend choosing your usual size.</p>
<p><strong>Release date:</strong> October 2021</p>
<p><strong>Colorway:</strong> Sail/Black/Black/Chile Red</p>";https://costyled.me/products/dunk-low-nba-75th-anniversary-chicago-bulls;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-nba-75th-anniversary-chicago-bulls-497791.jpg?v=1680137398;1520.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Dark Teal;<p>The Air Jordan 1 Mid Dark Teal offers an iconic style, crafted with a leather and fabric upper. The retro-inspired design ensures an eye-catching look, while cushioning and flexible outsoles offer superior comfort. Enjoy the classic Jordan look!</p>;https://costyled.me/products/air-jordan-1-mid-dark-teal;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-dark-teal-271684.jpg?v=1680136636;1330.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
